sample	unit	fq1	fq2
USDA_Desiree	FRAG_01473	FRAG01473_S39_L003_1.fastq.gz	FRAG01473_S39_L003_2.fastq.gz
USDA_Desiree	KFRAG_00469	KFRAG_00469_1.fastq.gz	KFRAG_00469_2.fastq.gz
CIP_Desiree	KFRAG_01506	KFRAG_01506-1.fq.gz	KFRAG_01506-2.fq.gz
CIP_Desiree	KFRAG_01506_b	KFRAG_01506_b-1.fq.gz	KFRAG_01506_b-2.fq.gz
CNRS_Desiree	SRR8261493	SRR8261493_1.fastq.gz	SRR8261493_2.fastq.gz
IPK_Desiree	IPK_Desiree_1	2517_A_S1_L001_R1_001.fastq.gz	2517_A_S1_L001_R2_001.fastq.gz
IPK_Desiree	IPK_Desiree_3	2517_A_S1_L003_R1_001.fastq.gz	2517_A_S1_L003_R2_001.fastq.gz
Cornell_Desiree	KFRAG_01454_SK1	KFRAG_01454_SK1-1.fq.gz	KFRAG_01454_SK1-2.fq.gz
Cornell_Desiree	KFRAG_01455_SK2	KFRAG_01455_SK2-1.fq.gz	KFRAG_01455_SK2-2.fq.gz
Cornell_Desiree	KFRAG_01456_SK3	KFRAG_01456_SK3-1.fq.gz	KFRAG_01456_SK3-2.fq.gz
Cornell_Desiree	KFRAG_01457_SK4	KFRAG_01457_SK4-1.fq.gz	KFRAG_01457_SK4-2.fq.gz
Cornell_Desiree	KFRAG_01458_SK_5	KFRAG_01458_SK_5-1.fq.gz	KFRAG_01458_SK_5-2.fq.gz
Cornell_Desiree	KFRAG_01459_SK_6	KFRAG_01459_SK_6-1.fq.gz	KFRAG_01459_SK_6-2.fq.gz
Cornell_Desiree	KFRAG_01460_SK_7	KFRAG_01460_SK_7-1.fq.gz	KFRAG_01460_SK_7-2.fq.gz
Cornell_Desiree	KFRAG_01461_SK_8	KFRAG_01461_SK_8-1.fq.gz	KFRAG_01461_SK_8-2.fq.gz
Cornell_Desiree	KFRAG_01462_SK_9	KFRAG_01462_SK_9-1.fq.gz	KFRAG_01462_SK_9-2.fq.gz
Cornell_Desiree	KFRAG_01463_SK_10	KFRAG_01463_SK_10-1.fq.gz	KFRAG_01463_SK_10-2.fq.gz
Cornell_Desiree	KFRAG_01464_SK_11	KFRAG_01464_SK_11-1.fq.gz	KFRAG_01464_SK_11-2.fq.gz
Cornell_Desiree	KFRAG_01465_SK_12	KFRAG_01465_SK_12-1.fq.gz	KFRAG_01465_SK_12-2.fq.gz
Cornell_Desiree	KFRAG_01466_SK_13	KFRAG_01466_SK_13-1.fq.gz	KFRAG_01466_SK_13-2.fq.gz
Cornell_Desiree	KFRAG_01467_SK_14	KFRAG_01467_SK_14-1.fq.gz	KFRAG_01467_SK_14-2.fq.gz
Cornell_Desiree	KFRAG_01468_SK_15	KFRAG_01468_SK_15-1.fq.gz	KFRAG_01468_SK_15-2.fq.gz
Cornell_Desiree	KFRAG_01469_SK_16	KFRAG_01469_SK_16-1.fq.gz	KFRAG_01469_SK_16-2.fq.gz
Cornell_Desiree	KFRAG_01470_SK_17	KFRAG_01470_SK_17-1.fq.gz	KFRAG_01470_SK_17-2.fq.gz
Cornell_Desiree	KFRAG_01471_SK_18	KFRAG_01471_SK_18-1.fq.gz	KFRAG_01471_SK_18-2.fq.gz
Cornell_Desiree	KFRAG_01472_SK_19	KFRAG_01472_SK_19-1.fq.gz	KFRAG_01472_SK_19-2.fq.gz
Cornell_Desiree	KFRAG_01473_SK_20	KFRAG_01473_SK_20-1.fq.gz	KFRAG_01473_SK_20-2.fq.gz
Cornell_Desiree	KFRAG_01474_SK_21	KFRAG_01474_SK_21-1.fq.gz	KFRAG_01474_SK_21-2.fq.gz
Cornell_Desiree	KFRAG_01475_SK_22	KFRAG_01475_SK_22-1.fq.gz	KFRAG_01475_SK_22-2.fq.gz
Cornell_Desiree	KFRAG_01476_SK_23	KFRAG_01476_SK_23-1.fq.gz	KFRAG_01476_SK_23-2.fq.gz
Cornell_Desiree	KFRAG_01477_SK_24	KFRAG_01477_SK_24-1.fq.gz	KFRAG_01477_SK_24-2.fq.gz
Cornell_Desiree	KFRAG_01478_SK_25	KFRAG_01478_SK_25-1.fq.gz	KFRAG_01478_SK_25-2.fq.gz
Cornell_Desiree	KFRAG_01479_SK_26	KFRAG_01479_SK_26-1.fq.gz	KFRAG_01479_SK_26-2.fq.gz
Cornell_Desiree	KFRAG_01480_SK_27	KFRAG_01480_SK_27-1.fq.gz	KFRAG_01480_SK_27-2.fq.gz
Cornell_Desiree	KFRAG_01481_SK_28	KFRAG_01481_SK_28-1.fq.gz	KFRAG_01481_SK_28-2.fq.gz
Cornell_Desiree	KFRAG_01482_SK_29	KFRAG_01482_SK_29-1.fq.gz	KFRAG_01482_SK_29-2.fq.gz
Cornell_Desiree	KFRAG_01483_SK_30	KFRAG_01483_SK_30-1.fq.gz	KFRAG_01483_SK_30-2.fq.gz
Cornell_Desiree	KFRAG_01484_SK_31	KFRAG_01484_SK_31-1.fq.gz	KFRAG_01484_SK_31-2.fq.gz
Cornell_Desiree	KFRAG_01485_SK_32	KFRAG_01485_SK_32-1.fq.gz	KFRAG_01485_SK_32-2.fq.gz
Cornell_Desiree	KFRAG_01486_SK_33	KFRAG_01486_SK_33-1.fq.gz	KFRAG_01486_SK_33-2.fq.gz
Cornell_Desiree	KFRAG_01487_SK_34	KFRAG_01487_SK_34-1.fq.gz	KFRAG_01487_SK_34-2.fq.gz
Cornell_Desiree	KFRAG_01488_SK_35	KFRAG_01488_SK_35-1.fq.gz	KFRAG_01488_SK_35-2.fq.gz
Cornell_Desiree	KFRAG_01489_SK_36	KFRAG_01489_SK_36-1.fq.gz	KFRAG_01489_SK_36-2.fq.gz
Cornell_Desiree	KFRAG_01490_SK_37	KFRAG_01490_SK_37-1.fq.gz	KFRAG_01490_SK_37-2.fq.gz
MF_43_3	MFRAG_00027H	MFRAG_00027H-1.fq.gz	MFRAG_00027H-2.fq.gz
MF_43_3	MFRAG_00027H_b	MFRAG_00027H_b-1.fq.gz	MFRAG_00027H_b-2.fq.gz
MF_63_2	MFRAG_00039H	MFRAG_00039H-1.fq.gz	MFRAG_00039H-2.fq.gz
MF_63_2	MFRAG_00039H_b	MFRAG_00039H_b-1.fq.gz	MFRAG_00039H_b-2.fq.gz
MF_74_2	MFRAG_00040H	MFRAG_00040H-1.fq.gz	MFRAG_00040H-2.fq.gz
MF_74_2	MFRAG_00040H_b	MFRAG_00040H_b-1.fq.gz	MFRAG_00040H_b-2.fq.gz
MF_83_1	MFRAG_00023H	MFRAG_00023H-1.fq.gz	MFRAG_00023H-2.fq.gz
MF_83_1	MFRAG_00023H_b	MFRAG_00023H_b-1.fq.gz	MFRAG_00023H_b-2.fq.gz
